,index,cell_i,cell_j,sitename,cnt
0,0,23,42,1,4
1,1,23,46,1,2
2,2,24,28,1,8
3,3,24,42,1,4
4,4,24,45,1,2
5,5,25,29,2,26
6,6,25,30,1,6
7,7,25,32,1,4
8,9,25,43,4,16
9,10,25,44,1,6
10,11,26,37,1,10
11,12,26,42,1,6
12,13,26,43,1,2
13,14,27,29,2,46
14,15,27,30,1,2
15,16,27,32,1,20
16,17,27,33,1,10
17,18,27,35,2,18
18,19,27,42,1,16
19,20,28,24,1,16
20,21,28,26,1,90
21,22,28,29,1,20
22,23,28,32,1,32
23,24,29,27,1,8
24,25,29,31,2,50
25,26,30,28,1,14
26,27,30,31,1,12
27,28,30,33,4,82
28,29,31,23,2,18
29,30,31,24,1,4
30,31,31,25,1,12
31,32,31,26,1,2
32,33,31,30,1,32
33,34,31,45,1,22
34,35,32,30,1,10
35,36,33,23,2,10
36,37,33,25,1,6
37,38,33,27,1,8
38,39,33,31,1,50
39,40,33,32,1,8
40,41,34,33,1,40
41,43,36,24,1,2
42,44,39,17,1,6